scenario_id,scenario_type,accel_mean,accel_std,jerk_mean,jerk_std,speed_mean,speed_std,n_samples,seed,source,method
quito_imprudent_nominal_0000,nominal,9.840012626311443,0.21194834439693241,0.09662447683545311,0.15320285313788465,118.08952905451106,6.5902707464932275,100,42,quito_behavior_dataset,distributional_sampling
quito_imprudent_nominal_0001,nominal,9.821297609460627,0.2277120991366346,0.09407610604362288,0.15740361984520213,115.26968893250515,8.912666720188275,100,42,quito_behavior_dataset,distributional_sampling
quito_imprudent_nominal_0002,nominal,9.832767271841199,0.20866619191039854,0.11128496210952213,0.13740039813602503,116.84524996084954,8.17520815260673,100,42,quito_behavior_dataset,distributional_sampling
quito_imprudent_nominal_0003,nominal,9.85265373919434,0.2620524160587456,0.11771265017156175,0.1604165646080722,118.08075352691404,6.017981767460207,100,42,quito_behavior_dataset,distributional_sampling
quito_imprudent_nominal_0004,nominal,9.84637213394467,0.24525610460986527,0.08394402601943587,0.1445468098281628,116.33700872523735,7.076477602731202,100,42,quito_behavior_dataset,distributional_sampling
quito_imprudent_nominal_0005,nominal,9.851166399479084,0.24099428337575937,0.10287763997288961,0.15344457538506007,117.34759361689093,7.391543461847691,100,42,quito_behavior_dataset,distributional_sampling
quito_imprudent_nominal_0006,nominal,9.877501109442164,0.2440355140935482,0.09130995113724363,0.14820768304889465,117.62018410231985,6.871874894829172,100,42,quito_behavior_dataset,distributional_sampling
quito_imprudent_nominal_0007,nominal,9.889251812444527,0.26068964923228233,0.11466664574568762,0.14977938517174186,116.4806022310506,7.4481461159697915,100,42,quito_behavior_dataset,distributional_sampling
quito_imprudent_nominal_0008,nominal,9.85026682899569,0.2077044944639334,0.11848056871453,0.1612562497126838,116.71992169879086,6.663428339861603,100,42,quito_behavior_dataset,distributional_sampling
quito_imprudent_nominal_0009,nominal,9.885814775235012,0.2110381237835108,0.07714527524196176,0.15020539004053185,117.59640983717192,6.117479708571956,100,42,quito_behavior_dataset,distributional_sampling
quito_imprudent_nominal_0010,nominal,9.84568489031548,0.22731743025089898,0.12156198997653274,0.15602952807685827,116.35764780457403,7.150587608203407,100,42,quito_behavior_dataset,distributional_sampling
quito_imprudent_nominal_0011,nominal,9.835023285618695,0.20962350797179813,0.09325714543770527,0.16176965370316695,117.98210558790164,5.781670850591941,100,42,quito_behavior_dataset,distributional_sampling
quito_imprudent_nominal_0012,nominal,9.84278084110959,0.22666072141760574,0.08746086301210733,0.14987377776466726,116.84702787492148,7.4976960445337255,100,42,quito_behavior_dataset,distributional_sampling
quito_imprudent_nominal_0013,nominal,9.863967756591643,0.20515374227815036,0.10783328854218784,0.14427948488218326,116.70752315111591,7.199792999856769,100,42,quito_behavior_dataset,distributional_sampling
quito_imprudent_nominal_0014,nominal,9.8571035821808,0.23115780815383963,0.14136378796144558,0.1500513122456869,116.04479769087011,7.744108809227527,100,42,quito_behavior_dataset,distributional_sampling
quito_imprudent_nominal_0015,nominal,9.868487542812048,0.2486635235671445,0.11839005993585681,0.14322513402666942,117.77369026953757,6.417331782230058,100,42,quito_behavior_dataset,distributional_sampling
quito_imprudent_nominal_0016,nominal,9.866617079506058,0.23897589216130777,0.09152440984799773,0.14708091196668185,118.17891927872884,5.908395346519239,100,42,quito_behavior_dataset,distributional_sampling
quito_imprudent_nominal_0017,nominal,9.862494077881363,0.239162306123349,0.1178014324580125,0.14841603543661191,117.44460306519561,6.455808215711552,100,42,quito_behavior_dataset,distributional_sampling
quito_imprudent_nominal_0018,nominal,9.847218466633901,0.19582237077882397,0.08242908598292656,0.15383685347453493,117.30546097130438,7.020836390795959,100,42,quito_behavior_dataset,distributional_sampling
quito_imprudent_nominal_0019,nominal,9.83747987938236,0.2390028627605293,0.10480295455453588,0.14931493777573165,117.41666950339614,6.179879884455204,100,42,quito_behavior_dataset,distributional_sampling
quito_imprudent_nominal_0020,nominal,9.861956516336015,0.2618833347801308,0.1076895122263573,0.12552956682163716,117.81473610052873,7.035486038314888,100,42,quito_behavior_dataset,distributional_sampling
quito_imprudent_nominal_0021,nominal,9.840676722294134,0.19910378101978157,0.10057623242280624,0.15167240689859154,116.9472325419766,7.355372316039321,100,42,quito_behavior_dataset,distributional_sampling
quito_imprudent_nominal_0022,nominal,9.84755380897296,0.2507363494982249,0.11481126857163883,0.17745173123096475,117.7077613216478,6.378178271680809,100,42,quito_behavior_dataset,distributional_sampling
quito_imprudent_nominal_0023,nominal,9.80611348652091,0.22317469246917304,0.09119744466508077,0.15907313485137822,116.58268036437343,7.263959567450005,100,42,quito_behavior_dataset,distributional_sampling
quito_imprudent_nominal_0024,nominal,9.907625068775719,0.2568677142580231,0.07352110067759732,0.14639995736389927,116.01880468520696,8.594033793526366,100,42,quito_behavior_dataset,distributional_sampling
quito_imprudent_nominal_0025,nominal,9.803686497954347,0.2280896254340237,0.09985198172330234,0.15235079580941566,118.78890700491048,6.504023988101938,100,42,quito_behavior_dataset,distributional_sampling
quito_imprudent_nominal_0026,nominal,9.840545038904278,0.215043901127327,0.1212980697747091,0.1550318151409563,119.17061983716472,6.273722275685339,100,42,quito_behavior_dataset,distributional_sampling
